Ticker,Date,Open,High,Low,Close,Adj Close,Volume
FB,01/04/16,101.949997,102.239998,99.75,102.220001,102.220001,37912400
FB,01/05/16,102.889999,103.709999,101.669998,102.730003,102.730003,23258200
FB,01/06/16,101.129997,103.769997,100.900002,102.970001,102.970001,25096200
FB,01/07/16,100.5,101.43,97.300003,97.919998,97.919998,45172900
FB,01/08/16,99.879997,100.5,97.029999,97.330002,97.330002,35402300
FB,01/11/16,97.910004,98.599998,95.389999,97.510002,97.510002,29932400
FB,01/12/16,99,99.959999,97.550003,99.370003,99.370003,28395400
FB,1/13/2016,100.580002,100.580002,95.209999,95.440002,95.440002,33410600
FB,1/14/2016,95.849998,98.870003,92.449997,98.370003,98.370003,48658600
FB,1/15/2016,93.980003,96.379997,93.540001,94.970001,94.970001,46132800
FB,1/19/2016,96.529999,97.419998,93.919998,95.260002,95.260002,30998300
FB,1/20/2016,92.830002,95,89.370003,94.349998,94.349998,59051400
FB,1/21/2016,94.910004,95.989998,92.620003,94.160004,94.160004,30518900
FB,1/22/2016,96.410004,98.07,95.489998,97.940002,97.940002,30495400
FB,1/25/2016,98.720001,99.480003,96.93,97.010002,97.010002,32482000
FB,1/26/2016,97.760002,97.879997,95.660004,97.339996,97.339996,26877100
FB,1/27/2016,97.790001,97.849998,94.230003,94.449997,94.449997,58699400
FB,1/28/2016,107.199997,110.339996,104.809998,109.110001,109.110001,107475300
FB,1/29/2016,108.989998,112.839996,108.839996,112.209999,112.209999,62739500
FB,02/01/16,112.269997,115.720001,112.010002,115.089996,115.089996,46132700
FB,02/02/16,114.800003,117.589996,113.199997,114.610001,114.610001,59778600
FB,02/03/16,115.269997,115.339996,109.75,112.690002,112.690002,56919300
FB,02/04/16,111.800003,111.940002,109.25,110.489998,110.489998,38890200
FB,02/05/16,109.510002,109.580002,103.18,104.07,104.07,76894700
FB,02/08/16,100.410004,102.68,97.459999,99.75,99.75,71229700
FB,02/09/16,97.139999,102.400002,96.82,99.540001,99.540001,62709000
FB,02/10/16,101.550003,103.25,100.239998,101,101,45179400
FB,02/11/16,99.599998,105.110001,98.879997,101.910004,101.910004,43670600
FB,02/12/16,103.739998,104.239998,101.089996,102.010002,102.010002,36176800
FB,2/16/2016,103.800003,103.93,100.239998,101.610001,101.610001,45687200
FB,2/17/2016,102.019997,105.720001,100.400002,105.199997,105.199997,44073400
FB,2/18/2016,105.800003,106,103.029999,103.470001,103.470001,29593500
FB,2/19/2016,102.550003,105.019997,102.059998,104.57,104.57,32404500
FB,2/22/2016,105.489998,108.25,105.339996,107.160004,107.160004,35709700
FB,2/23/2016,106.849998,107.470001,105.120003,105.459999,105.459999,25319300
FB,2/24/2016,104.209999,106.949997,102.739998,106.879997,106.879997,34412400
FB,2/25/2016,107.110001,108.07,105.610001,108.07,108.07,29906300
FB,2/26/2016,108.699997,109.449997,107.160004,107.919998,107.919998,26686200
FB,2/29/2016,107.599998,108.910004,106.75,106.919998,106.919998,32779000
FB,03/01/16,107.830002,109.82,107.599998,109.82,109.82,26817300
